n,min_k_for_aggregated_combinations,log_sum_of_combinations_min_k_aggregated_combinations,sum_of_combinations_min_k_aggregated_combinations,min_k,log_combinations_min_k,combinations_min_k,max_k,log_combinations_max_k,combinations_max_k
1353,16,122.06989346916554,5580839101045906614033115898044127347,16,122.05255086490848,5514153576817074165379788972743690820,17,128.3498717737515,433671960717907538771339873915194978020
1354,16,122.08703007225562,5647524625274739062686442823344563875,16,122.06970048784201,5580092633042091494711684805003705060,17,128.36810004723313,439186114294724612936719662887938668840
1355,16,122.10415396286345,5714956617507386630661200841685422691,16,122.08683737875893,5646770364280831945731391270186721700,17,128.3863147828329,444766206927766704431431347692942373900
1356,16,122.12126515983599,5783142870733941315591010413184123683,16,122.10396155655015,5714194488033438894337139225651637780,17,128.40451600064495,450412977292047536377162738963129095600
1357,16,122.13836368197833,5852091253434443736844881600716609587,16,122.12107304006453,5782372796615493347960848567643007060,17,128.42270372071866,456127171780080975271499878188780733380
1358,16,122.1554495480538,5921809710253394125728914633790212115,16,122.13817184810907,5851313157827004445999129921653653940,17,128.4408779630589,461909544576696468619460726756423740440
1359,16,122.17252277678409,5992306262679783805458699345926770291,16,122.15525799944902,5921023515626879405891896919975663220,17,128.45903874762612,467760857734523473065459856678077394380
1360,16,122.1895833868494,6063589009732688205025501771877877363,16,122.17233151280796,5991511890812913684533467121403944925,17,128.4771860943364,473681881250150352471351753598053057600
1361,16,122.20663139688853,6135666128652462725517536422351809802,16,122.18939240686797,6062786381707342397509329927309121965,17,128.49532002306162,479673393140963266155885220719457002525
1362,16,122.22366682549898,6208545875597583053525742917394497640,16,122.20644070026972,6134855164847994313081506211734787605,17,128.5134405536297,485736179522670608553394550646766124490
1363,16,122.24068969123716,6282236586347171793969979623054207676,16,122.22347641161264,6207726495685090013905043033848935045,17,128.5315477058246,491871034687518602866476056858500912095
1364,16,122.25770001261846,6356746677009253574034916212259480308,16,122.24049955945495,6281408709283726097156141467485124185,17,128.54964149938647,498078761183203692880381099892349847140
1365,16,122.2746978081173,6432084644734781050913690957033836432,16,122.25751016231389,6355910221032087563097207637596141225,17,128.56772195401183,504360169892487418977537241359834971325
1366,16,122.29168309616738,6508259068437474538730174276471531640,16,122.27450823866579,6431239527355430823104285654041725121,17,128.58578908935365,510716080113519506540634448997431112550
1367,16,122.30865589516172,6585278609519518254356062898901338160,16,122.29149380694616,6507405206435880040846453359789073457,17,128.60384292502152,517147319640874937363738734651472837671
1368,16,122.3256162234528,6663152012603156467865672438013602864,16,122.30846688554988,6584415918938079804643452807833914563,17,128.62188348058172,523654724847310817404585188011261911128
